name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,public,registered_zip_state_validation,physical_zip_state_validation
"!!!@ ALL THINGS THROUGH LEARNING, INC.",CORPORATION,FL,,,,,139 E DURHAM ST,PHILADELPHIA,,3950892,,missing,missing
"!#1 HOST CANADA, LLC",LLC,OR,,,,FL,5335 GATE PKWY,JACKSONVILLE,32256,62834297,N,missing,valid
"!#1 HOST CHINA, LLC",LLC,OR,,,,FL,5335 GATE PKWY,JACKSONVILLE,32256,62837993,N,missing,valid
"!#1 HOST GERMANY, LLC",LLC,OR,,,,FL,5335 GATE PKWY,JACKSONVILLE,32256,62837399,N,missing,valid
"!#1 HOST JAPAN, LLC",LLC,OR,,,,FL,5335 GATE PKWY,JACKSONVILLE,32256,62838298,N,missing,valid
"!#1 HOST KOREA, LLC",LLC,OR,,,,FL,5335 GATE PKWY,JACKSONVILLE,32256,62833794,N,missing,valid
!1ST IN LINE BAIL BONDS LLC,LLC,FL,1609 N NOVA RD,HOLLY HILL,32117,FL,1609 N NOVA RD #K,HOLLY HILL,32117,L20000102453,N,valid,valid
!ARRIBA! LLC,LLC,MO,9510 EAST SEVILLE,PECULIAR,64078,,,,,LC1235595,,valid,missing
!ASP IT INC.,CORPORATION,NY,60 BROAD ST STE 3101,NEW YORK,10004,,,,,5551357,N,valid,missing
!B&D TREE--LANCERS! LLC,LLC,TX,,,,TX,9900 SPECTRUM DR,AUSTIN,78717,,N,missing,valid
"!B.A.M! SELF DEFENSE AND PERSONAL TRAINING, LLC",LLC,GA,4607 MDW AVE,SAVANNAH,31405,GA,4607 MDW AVE,SAVANNAH,31405,20144275,N,valid,valid
!CELEBRATE! . PLANNING . UNFORGETTABLE . PARTIES .,DBA,OH,,,,,,TOLEDO,,4022081,N,missing,missing
!CT'S BAIL BONDS CORP,CORPORATION,FL,1212 OLEN DR,HOLLY HILL,32117,FL,345 BEVILLE RD #108,DAYTONA,32119,P21000041715,N,valid,valid
!DREAM ON! LLC,CORPORATION,OH,,,,,,AUSTINTOWN,,1070426,N,missing,missing
!DREAM WEAVERS! LLC,CORPORATION,OH,,,,,,NORTHFIELD CENTER,,1070066,N,missing,missing
"!DREAM WEAVERS, AM-FM-TV! LLC",CORPORATION,OH,,,,,,NORTHFIELD CENTER,,1070065,N,missing,missing
!ELI'S COMPUTER REPAIR AND SERVICE LLC,LLC,IN,3034 UNDERWOOD CT,WHITELAND,46184,IN,3034 UNDERWOOD CT,WHITELAND,46184,202102241464903,N,valid,valid
!ELI'S COMPUTER REPAIR AND SERVICE LLP,LLC,IN,3034 UNDERWOOD CT,WHITELAND,46184,IN,3034 UNDERWOOD CT,WHITELAND,46184,202102241464903,N,valid,valid
"!EXEVIA URBAN VENTURES, LLC",LLC,GA,4549 REVENUE TRL,ELLENWOOD,30294,GA,4549 REVENUE TRL,ELLENWOOD,30294,18135246,N,valid,valid
"!FANTASTIC CLEANING, LLC",LLC,CO,2550 WINDING RVR DR K1,BROOMFIELD,80023,CO,2550 WINDING RVR DR K1 ATTN: B SABATKA,BROOMFIELD,80023,20101326096,N,valid,valid
"!FLAGS!, LLC",CORPORATION,OH,,,,,,CINCINNATI,,1069901,N,missing,missing
"!HAW~A~YAK~A~HSIA|, LLC",LLC,OR,,,,OR,1975 SE CRYSTAL LK DR UNIT 141,CORVALLIS,97333,155829691,N,missing,valid
"!HOLA HP!, LLC",LLC,TX,,,,TX,4429 HYER ST,DALLAS,75205,,N,missing,valid
"!HOLA! SCHOOL OF SPANISH LANGUAGE, LLC.",LLC,TX,,,,TX,19014 ALLVIEW LN,HOUSTON,77094,,N,missing,valid
"!JGG REAL ESTATE!, LLC",CORPORATION,OH,,,,,,NORTHFIELD CENTER,,1069996,N,missing,missing
!K7 RECORDS GMBH,CORPORATION,NY,HORST WEIDENMUELLER 55 WASHINGTON ST STE,BROOKLYN,11201,,HEIDESTR 52,BERLIN,10557,3281337,N,valid,missing
!KHARMASREVENGE! LLC,LLC,GA,742 PEEPLES ST SW,ATLANTA,30310,GA,742 PEEPLES ST SW,ATLANTA,30310,12050497,N,valid,valid
!KR! FOUNDATION INC.,NONPROFIT,GA,742 PEEPLES ST SW,ATLANTA,30310,GA,742 PEEPLES ST SW,ATLANTA,30310,13384219,N,valid,valid
"!LINKS!, LLC",CORPORATION,OH,,,,,,METAMORA,,1070064,N,missing,missing
!LYYV! ENTERTAINMENT LLC,LLC,WA,3023 E DIAMOND AVE,SPOKANE,99217,WA,5201 N MARKET ST BSMT,SPOKANE,99217,604431901,N,valid,valid
!MPACT CITY INC.,NONPROFIT,NC,3916 STRETTON AVE,FAYETTEVILLE,28306,NC,3916 STRETTON AVE,FAYETTEVILLE,28306,2057384,N,valid,valid
"!MPERFECTIONS, LLC",LLC,NY,143 EAST 63RD ST,NEW YORK,10022,,,,,2767192,N,valid,missing
!MUEVE! TO THE BEAT LLC,CORPORATION,OH,,,,,,BURTON,,2117148,N,missing,missing
"!NAEDOG INT'L, INC.",CORPORATION,CA,"22216 VICTORY BLVD, UNIT C 219",WOODLAND HILLS,91367,CA,"22216 VICTORY BLVD, UNIT C 219",WOODLAND HILLS,91367,C4236799,N,valid,valid
!NISH CLOTHING LLC,LLC,NY,99 ELMWOOD AVE,HEMPSTEAD,11550,,,,,5071492,N,valid,missing
!NSIGNIFICANT LLC,LLC,TX,,,,TX,4826 PEBBLE BLF LN,KATY,77449,,N,missing,valid
"!NSPIRED, LLC",LLC,MO,"600 WASHINGTON AVENUE, STE 2500",SAINT LOUIS,63101,,,,,LC1236724,,valid,missing
"!QCL SOLUTIONS, LLC",LLC,GA,805 HOLLY RDG,CANTON,30115,GA,805 HOLLY RDG,CANTON,30115,12074858,N,valid,valid
!RAREBARB LLC,LLC,NC,3510 STERLING MAGNOLIA CTN 205,CHARLOTTE,28211,,,,,2162953,N,valid,missing
"!READY?, LLC",LLC,NY,122 WESTBOURNE LN APT 1224,ITHACA,14850,,,,,2823270,N,valid,missing
!ST CHOICE HOME IMPROVEMENT,DBA,OH,,,,,,GROVEPORT,,4530059,N,missing,missing
!UNA MAS! INC,CORPORATION,NC,1337 EAST DIXIE DR STE D,ASHEBORO,27203,NC,1337 EAST DIXIE DR STE D,ASHEBORO,27203,2079973,N,valid,valid
"!WALKOBSERVATION, LLC",LLC,OR,,,,OR,3594 SE BENTLEY ST,HILLSBORO,97123,89308499,N,missing,valid
!WELLDONE PRODUCTION INC.,CORPORATION,CA,"1203 BEVERLY GRN DR, UNIT 1",BEVERLY HILLS,90212,CA,"1203 BEVERLY GRN DR, UNIT 1",BEVERLY HILLS,90212,C2690772,N,valid,valid
!XIMML! LLC,LLC,GA,3379 PEACHTREE RD NE,ATLANTA,30326,GA,3379 PEACHTREE RD NE,ATLANTA,30326,20089809,N,valid,valid
!XIMML! LLC,LLC,IN,"6101 NORTH KEYSTONE, 100 #1099",INDIANAPOLIS,46220,IN,"6101 NORTH KEYSTONE, 100 #1099",INDIANAPOLIS,46220,202103221473045,N,valid,valid
!YADEMAG LLC,LLC,FL,15209 KESTRELRISE DR,LITHIA,33547,FL,15209 KESTRELRISE DR,LITHIA,33547,L20000103378,N,valid,valid
""" ""E"" TEA DISTRIBUTORS, LLC""",LLC,NY,ATTN: A R SAMI 309 WEST 136 ST,NEW YORK,10030,,,,,3688831,N,valid,missing
""" #1ST FAMILY CARE "" LLC",LLC,WA,7116 63RD PL NE,MARYSVILLE,98270,WA,7116 63RD PL NE,MARYSVILLE,98270,604541944,N,valid,valid
""" 16"" ENTERPRISES, INC.",CORPORATION,NY,40 EXCHANGE PL,NEW YORK,10005,,,,,144144,N,valid,missing
""" 21"" BRANDS, INC.",CORPORATION,NY,28 LIBERTY ST,NEW YORK,10005,,,,,45912,N,valid,missing
""" 300"" BLOCK ASSOCIATION OF WEST 139TH STREET, INC.",NONPROFIT,NY,312 WEST 139 ST,NEW YORK,10030,,,,,820973,N,valid,missing
""" 575"" & COMPANY INC.",CORPORATION,NY,1650 SYCAMORE AVE STE 15,BOHEMIA,11716,NY,1650 SYCAMORE AVE STE 15,BOHEMIA,11716,1404604,N,valid,valid
""" A ROOM WITH A VIEW OF LIMA, LLC""",CORPORATION,OH,,,,,,KIRTLAND,,1194217,N,missing,missing
""" A WORD OF COMFORT MINISTRIES""",NONPROFIT,CT,,,,,,,,1031075,N,missing,missing
""" A"" BATTERY NCO CLUB, INC.",NONPROFIT,NY,"AFFAIRS, LEGAL OFC PUBLIC SEC BLDG",STATE CAMPUS,12226,,,,,1013309,N,valid,missing
""" ALL TILE COMPANY """,CORPORATION,IN,5431 N ARLINGTON AVE,INDIANAPOLIS,46226,IN,"9465 COUNSELORS ROW, STE 200",INDIANAPOLIS,46240,2002122700173,N,valid,valid
""" ALMAZ"" JEWELRY & FINE ANTIQUES CORP.",CORPORATION,NY,211-19 26 AVE,BAYSIDE,11360,NY,211-19 26 AVE,BAYSIDE,11360,819971,N,valid,valid
""" ALWAY'S STRAPPED """,CORPORATION,PA,231 SPRUCE ST,CANONSBURG,,,231 SPRUCE ST,CANONSBURG,,3963750,,missing,missing
""" AMIGOS"" T.C.S. & PERMITS, LLC",LLC,FL,1695 S FLORIDA MANGO RD,WEST PALM BEACH,33406,FL,1695 S FLORIDA MANGO RD STE #3,WEST PALM BEACH,33406,L17000089173,N,valid,valid
""" AN ANGELS TOUCH PERSONAL CARE LLC """,LLC,MO,1212 NE GRN ST,LEES SUMMIT,64086,,,,,LC001497296,,valid,missing
""" ATELIER DE SERIGRAPHIE EL"" ART COMMERCIAL, LTD.",CORPORATION,NY,138 SPG ST,NEW YORK,10012,,,,,1346676,N,valid,missing
""" AZAN' INTERNATIONAL INC.",NONPROFIT,NY,2227 PITKIN AVE,BROOKLYN,11207,,,,,1266064,N,valid,missing
""" BABE RUTH"" HOME RUN CONFECTION CORP",CORPORATION,NY,110 WILLIAM ST,NEW YORK,10038,,,,,4365,N,valid,missing
""" BIG ONE TRANSPORTATION LLC""",LLC,CT,,,,CT,187 MARGARET CIR,NAUGATUCK,06770,1318270,N,missing,valid
""" BLESSED "" AFH LLC",LLC,WA,1920 143RD PL SW,LYNNWOOD,98087,WA,1920 143RD PL SW,LYNNWOOD,98087,604578325,N,valid,valid
""" BUBBLES"" 1926 ROAD HOUSE, INC.",CORPORATION,NY,RTE 303,BLAUVELT,10913,,,,,398612,N,valid,missing
""" C AND H APPLIANCES SALES & SERVICES """,CORPORATION,PA,,,,,757 ST JOHN ST,ALLENTOWN,,2109989,,missing,missing
""" C M SEWING MACHINE COMPANY """,CORPORATION,PA,,,,,627 LARCH ST,DUNMORE,,2109875,,missing,missing
""" C"" CLUB INC.",NONPROFIT,NY,PUB SECURITY BLDG #22,STATE CAMPUS,12226,,,,,1052778,N,valid,missing
""" CAMPUS CAKES """,CORPORATION,PA,,,,,,,,2111521,,missing,missing
""" CARING LOVE "" AFH LLC",LLC,WA,4010 192ND ST SW,LYNNWOOD,98036,WA,4010 192ND ST SW,LYNNWOOD,98036,604616362,N,valid,valid
""" CHARLES ENGELHARDINC.""",CORPORATION,NY,30 CHURCH ST,NEW YORK,10007,,,,,4145,N,valid,missing
""" COSMOPOLITAN SHIPPING COMPANY, INC.""",CORPORATION,NY,42 BROADWAY,NEW YORK,,,,,,3561,N,missing,missing
""" CREDIT MEDICS """,CORPORATION,PA,6632 TACKAWANNA ST,PHILADELPHIA,,,7114 RISING SUN AVE,PHILADELPHIA,,4210806,,missing,missing
""" CROWDFLUTTR "" OR "" CROWDFLUTTR LLC """,LLC,PA,,,,,2100 WALNUT ST 10-E,PHILADELPHIA,,4321766,,missing,missing
""" D "" HANDYMAN INC",CORPORATION,FL,2018 NW 38TH TER,LAUDERDALE LAKES,33311,FL,2018 NW 38TH TER,LAUDERDALE LAKES,33311,P13000053033,N,valid,valid
""" DANNY LOVES THE KIDS"" INC.",NONPROFIT,FL,8240 SW 45TH ST,MIAMI,33155,FL,8240 SW 45 TH ST,MIAMI,33155,N20000010132,N,valid,valid
""" DIACON, INC. """,CORPORATION,OH,,,,OH,,HAMILTON,,669801,N,missing,missing
""" DOM POLSKI TRANSFER CO., INC.""",CORPORATION,NY,20 GREENWICH ST,NEW YORK,10004,,,,,3377,N,valid,missing
""" DOMINION TOBACCO COMPANY OF U. S. A.""",CORPORATION,NY,70 WASHINGTON ST,BROOKLYN,11201,,,,,3382,N,valid,missing
""" E.J. THE D.J., INC.""",CORPORATION,NY,60 BRG RD,ISLANDIA,11749,NY,60 BRG RD,ISLANDIA,11749,1034592,N,valid,valid
""" EL ORIGINAL "" READING LATIN JEEP CLUB",NONPROFIT,PA,1319 CHURCH ST,READING,,,550 NORTH 12TH ST,READING,,4000845,,missing,missing
""" EVVY"" CULTURAL INTERCHANGE, INC",NONPROFIT,NY,251 EAST 29TH ST LBBY B,BROOKLYN,11226,,,,,871650,N,valid,missing
""" EZ "" DRIVING SCHOOL LLC",LLC,FL,60 NE 14TH ST,MIAMI,33132,FL,60 NE 14TH ST 2305,MIAMI,33132,L21000212163,N,valid,valid
""" FOR ARTSAKE"" DANCERS, INC.",NONPROFIT,NY,400 LAFAYETTE ST,NEW YORK,10003,,,,,778730,N,valid,missing
""" FRESHTOOTHETEE "" DREADS , BRAIDS , & MORE LLC",CORPORATION,OH,,,,,,CINCINNATI,,4592121,N,missing,missing
""" G "" TRUCKING LLC",LLC,MS,,,,,575 SMITH AVE RD,,,1043053,N,missing,missing
""" H """,CORPORATION,PA,,,,,2061-63 CHELTEN AVE,PHILADELPHIA,,2238879,,missing,missing
""" HAIR BELOW""",CORPORATION,PA,624 RED FOX LN,EASTON,,,624 RED FOX LN,EASTON,,4069506,,missing,missing
""" HALL'S PUMP & WELL, INC.""",CORPORATION,FL,904 NW MAIN BLVD,LAKE CITY,32055,FL,904 NW MAIN BLVD,LAKE CITY,32055,P98000049390,N,valid,valid
""" HOPE & HARMONY "" AFH LLC",LLC,WA,2423 123RD ST SE,EVERETT,98208,WA,PO BOX 257,OLYMPIA,98507,604581220,N,valid,valid
""" I CAN FIX THAT ' HANDYMAN SERVICES, LLC",LLC,WV,7676 SOUTH CALHOUN HWY,MOUNT ZION,26151,WV,7676 SOUTH CALHOUN HWY,MOUNT ZION,26151,470716,N,valid,valid
""" ICY GIRL, LLC """,LLC,NY,2929 LACONIA AVE,BRONX,10469,,,,,5412906,N,valid,missing
""" IT'S ALL ABOUT UR TIME """,CORPORATION,PA,PO BOX 746,HAMLIN,,,1121 TRESSLERVILLE RD,LAKE ARIEL,,3831911,,missing,missing
""" J'EAT ?""",DBA,OH,,,,,,CINCINNATI,,4715441,N,missing,missing
""" JESUS IN THE BLESSED SACRAMENT"" PADRE PIO PRAYER GROUP, INC.",NONPROFIT,NY,1758-72ND ST,BROOKLYN,11204,,,,,900988,N,valid,missing
""" JUST"" HARRIET, INC.",CORPORATION,NY,8604 23RD AVE,BROOKLYN,11214,,,,,254805,N,valid,missing
""" K N M 'S ENTERPRISE LLC """,CORPORATION,OH,,,,,,CANTON,,4722898,N,missing,missing
""" K"" LINE AMERICA, INC.",CORPORATION,VA,4860 COX RD STE 300,GLEN ALLEN,23060,VA,4860 COX RD STE 300,GLEN ALLEN,23060,1437849,N,valid,valid
""" KADMOS"" SHIPPING - TOURISTIC - HOTEL - TRANSPORTATION ENTERPRISES S.A.",CORPORATION,NY,"ERPRISES 1650 BROADWAY, STE 806",NEW YORK,10019,,,,,389467,N,valid,missing
""" LA PEQUENA CARNICERIA"" CORP.",CORPORATION,NY,400 FIFTH AVE,BROOKLYN,11215,,,,,1092856,N,valid,missing
""" LAMBERT HOISTING ENGINE COMPANY""",CORPORATION,NY,30 CHURCH ST RM 519,NEW YORK,10007,,,,,4186,N,valid,missing
""" LAUGHING SPIRIT"" STUDIO",CORPORATION,PA,,,,,622 GRV ST,GREENSBURG,15601,3337135,,missing,missing
""" LIL PLAYHOUSE"" DAYCARE",DBA,OH,,,,,,VAN WERT,,1291514,N,missing,missing
""" LISTEN HERE"": A CABLE TV SHOW INC.",CORPORATION,NY,120-39 198TH ST,SAINT ALBANS,11412,,,,,1254164,N,valid,missing
""" M"" PRODUCTIONS, INC.",CORPORATION,NY,477 MADISON AVE,NEW YORK,10022,,,,,326134,N,valid,missing
""" MANDY THE BEECHARMER "" LLC.",LLC,PA,,,,,793 RTE 314,SWIFTWATER,,4325936,,missing,missing
""" MANGOS"" LIGHTHOUSE INC.",CORPORATION,NY,39-61 61ST ST,WOODSIDE,11377,NY,61-15 43RD AVE 2D,WOODSIDE,11377,3378330,N,valid,valid
""" MBCS COMPANY, LLC """,LLC,FL,8205 SANDPIPER WY,WEST PALM BEACH,33412,FL,855 MARINA DEL RAY LN,WEST PALM BEACH,33401,L17000077243,N,valid,valid
""" MEAT WORLD"" TOMASELLI & SON, INC.",CORPORATION,NY,75 SPIRAL RD,HOLTSVILLE,11742,,,,,350895,N,valid,missing
""" MEMORIES IN MELODY"" ENTERPRISES, INC.",CORPORATION,NY,17 ORCH RD,EAST PATCHOGUE,11772,NY,17 ORCH RD,EAST PATCHOGUE,11772,794829,N,valid,valid
""" MENA BUENO GROUP. LLC"".",LLC,PA,,,,,105 ALISON RD APT A-4,HORSHAM,,4321760,,missing,missing
""" MN ENDO LLC.""",LLC,FL,3736 NW 129TH DR,GAINESVILLE,32606,FL,3736 NW 129TH DR,GAINESVILLE,32606,L18000210820,N,valid,valid
""" MY CHURCH "" J INC.",NONPROFIT,GA,179 SOUTH ST,CUTHBERT,39840,GA,179 SOUTH ST,CUTHBERT,39840,21156072,N,valid,valid
""" MY SOFTBALL TRAINING """,CORPORATION,PA,662 DITZ DR,MANHEIM,,,662 DITZ DR,MANHEIM,,3949785,,missing,missing
""" OUR FALLEN HOMELESS HEROES ""- CALIFORNIA",CORPORATION,CA,"8726 S SEPULVEDA BLVD, BLDG D STE 5227",LOS ANGELES,90045,CA,"8726 S SEPULVEDA BLVD, BLDG D STE 5227",LOS ANGELES,90045,C4736919,N,valid,valid
""" OVER-THE-HILL""FARM, INC.",CORPORATION,NY,OLD PUTNAM LK RD,BREWSTER,10509,NY,"OLD PUTNAM LK ROAD, RD #3",BREWSTER,10509,1241760,N,valid,valid
""" PANAGIA SOUMELA"" PONTION AMERIKIS",NONPROFIT,NY,228 8TH AVE,NEW YORK,10011,,,,,835972,N,valid,missing
""" PESTERA "" - ROMANIAN MINORITY CLUB, INC.",NONPROFIT,NY,48-04 43RD AVE,SUNNYSIDE,11104,,,,,1782391,N,valid,missing
""" PIRATES TRUCKING LLC """,CORPORATION,OH,,,,,,DOYLESTOWN,,4291823,N,missing,missing
""" PITSTOP "" AUTO REPAIR & SERVICES",LLC,CO,1647 HWY 91,LEADVILLE,80461,CO,1647 HWY 91,LEADVILLE,80461,20201770290,N,valid,valid
""" POINT AFTER"" ENTERPRISES, INC.",CORPORATION,NY,1549 CENTRAL AVE,ALBANY,12205,,,,,352728,N,valid,missing
""" RED SQUARE PAINTING & DESIGN "", ""LLC""",LLC,FL,93 SILVER OAKS CIR,NAPLES,34119,FL,93 SILVER OAKS CIR #3102,NAPLES,34119,L07000078689,N,valid,valid
""" RIPEN WITH US"" CHILD CARE CENTER, INC.",NONPROFIT,NY,786 KENMORE AVE,BUFFALO,14216,,,,,470551,N,valid,missing
""" RSK HOLDINGS LLC",LLC,PA,,,,,701 RT 309,DALLAS,18612,3334663,,missing,missing
""" SALON DE PARIE """,CORPORATION,PA,,,,,1900 E STATE ST,SHARON,,2469459,,missing,missing
""" SCREENPLAYS PRODUCTIONS, INC.""",CORPORATION,NY,GOTHAM NAT'L BK BLDG,NEW YORK,,,,,,4016,N,missing,missing
""" SPECIAL INTERNATIONAL SUPPLIERS CORP.""",CORPORATION,FL,11030 SW 128 ST,MIAMI,33176,FL,11030 SW 128 ST,MIAMI,33176,P05000111060,N,valid,valid
""" TALLER YUMURI MACHINE SHOP INC. """,CORPORATION,FL,10441 NW 133RD ST,HIALEAH GARDEN,33018,FL,3890 NW 132ND ST BAY I,OPA LOCKA,33054,P06000048781,N,valid,valid
""" TELEX"" RUSSIAN EDUCATIONAL BOOKS, INC.",NONPROFIT,NY,"BOOKS, INC 350 WEST 31 ST",NEW YORK,10001,,,,,875502,N,valid,missing
""" THE LOCK BOX LADY """,DBA,OH,,,,,,WILLOUGHBY,,4647473,N,missing,missing
""" THE PHARMACIST LLC """,LLC,MO,9737 PERCH DR,SAINT LOUIS,63136,,,,,LC001657628,,valid,missing
""" TOP QUALITY CLUB LLC """,CORPORATION,OH,,,,,,LORAIN,,4741142,N,missing,missing
""" TRENDZ OF TIME "" HAIR DESIGNS BY PAM",CORPORATION,PA,120 WEST CHURCH ST / PO BOX 107,CENTRE HALL,,,101 EAST POTTER ST PO BOX 107,CENTRE HALL,,4085656,,missing,missing
""" VINE CAFE""",CORPORATION,PA,180 CTR ST,CARBONDALE,,,431 LACKAWANNA AVE,SCRANTON,,4329715,,missing,missing
""" VITEC CONSULTING GROUP, INC.""",CORPORATION,FL,7207 NW 76TH CT,TAMARAC,33321,FL,4620 W COMMERCIAL BLVD,TAMARAC,33319,P05000011699,N,valid,valid
""" WE THE PEOPLE"" ARMORY LLC",LLC,WA,563 SHANKLIN RD,ONALASKA,98570,WA,563 SHANKLIN RD,ONALASKA,98570,604522625,N,valid,valid
""" WELDONE"" FAMILY LAUNDRY, INC",CORPORATION,NY,1152 TAYLOR AVE,UTICA,13501,,,,,11464,N,valid,missing
""" WITNESS IN WRITING "" MINISTRY CORP",NONPROFIT,IN,"7399 N SHADELAND AVE #260, STE 260",INDIANAPOLIS,46250,IN,"7399 N SHADELAND AVE, STE #260",INDIANAPOLIS,46250,2001053000796,N,valid,valid
""" YOUR"" TELEPHONE SERVICE, INC.",CORPORATION,NY,1881 BRUCE LN,GRAND ISLAND,14072,NY,1881 BRUCE LN,GRAND ISLAND,14072,886173,N,valid,valid
""" Z"" CAR RENTING AGENCY., INC.",CORPORATION,NY,22-74 31ST AVE,ASTORIA,11106,,,,,374592,N,valid,missing
""""" THE ROOFER DIRECT """" LLC",LLC,GA,"300 COLONIAL CTR PARKWAY, STE 100N",ROSWELL,30076,GA,102 TALL PNES DR,JACKSON,30233,09032411,N,valid,valid
"""""KUZZINS"""" BAR AND LOUNGE LLC",LLC,GA,105 HEMLOCK ST,SUMMERVILLE,30747,GA,220 BRIARWOOD CIR,SUMMERVILLE,30747,12023107,N,valid,valid
"""""THE ROOFER DIRECT"""" LLC",LLC,IN,"117 BROADWAY, STE 100, CHESTERTON, IN 46304",CHESTERTON,46304,GA,102 TALL PNES DR,JACKSON,30233,2012073100592,N,valid,valid
"""#1 CLEANING"", LLC",LLC,FL,3440 W HOLLYWOOD BLVD STE 415,HOLLYWOOD,33021,FL,5228 COLLINS DR,PANAMA CITY,32404,L17000009942,N,valid,valid
"""(HOLY TRINITY) PARISH OF THE ORTHODOX CHURCH IN AMERICA""",NONPROFIT,OH,,,,OH,,PARMA,,324443,N,missing,missing
"""... IN THE AIR"" CANDLE CO., LTD.",CORPORATION,OH,,,,,,POWELL,,4664355,N,missing,missing
"""1"" SMART TRAVELER VENDING, INC.",CORPORATION,FL,820 SW TULIP BLVD,PORT SAINT LUCIE,34953,FL,820 SW TULIP BLVD,PORT SAINT LUCIE,34953,P96000079505,N,valid,valid
"""10-10"" EXPRESS TOW & AUTO RECYCLE LIMITED",CORPORATION,OR,,,,OR,PO BOX 6224 15855 HWY 101 SOUTH,BROOKINGS,97415,51853894,N,missing,valid
"""1040 BOOKKEEPING STORE""",LLC,IN,5901 E 38TH ST,INDIANAPOLIS,46218,IN,5901 E 38TH ST,INDIANAPOLIS,46218,2011071100179,N,valid,valid
"""1040TAXSTORE""",LLC,IN,5901 E 38TH ST,INDIANAPOLIS,46218,IN,5901 E 38TH ST,INDIANAPOLIS,46218,2011071100179,N,valid,valid
"""11744-11796 WESTLINE INDUSTRIAL CONDOMINIUM, LLC""",LLC,MO,"10 S BRENTWOOD BLVD, STE 200",SAINT LOUIS,63105,,,,,LC0671089,,valid,missing
"""118 SHELLFISH""",CORPORATION,PA,,,,PA,RR #3 BOX 145,HUNLOCK CREEK,,2097502,,missing,missing
"""124 WEST TOWN STREET LLC""",LLC,CT,,,,CT,124 WEST TOWN ST,NORWICH,06360,741005,N,missing,valid
"""161803"" INC.",CORPORATION,NY,"151 FIRST AVE, STE #2",NEW YORK,10003,NY,151 FIRST AVE 2,NEW YORK,10003,3087093,N,valid,valid
"""18 MAI"" COMMITTEE, INC.",NONPROFIT,NY,658 PARK PL,BROOKLYN,11216,,,,,2120403,N,valid,missing
"""1804 SECURITY SERVICES"" INC",CORPORATION,NY,52 CEDAR ST,CENTRAL ISLIP,11722,,,,,5469797,N,valid,missing
"""1953"" CUYAHOGA FRIENDS OF CORRECTIONS",DBA,OH,,,,,,WADSWORTH,,4531489,N,missing,missing
"""1984""",CORPORATION,PA,,,,,,,,2351239,,missing,missing
"""1ST PLACE"" HOME AND DAY SERVICES, LLC",CORPORATION,OH,,,,,,COLUMBUS,,4034138,N,missing,missing
"""1ST"" LEAD PAINT, ASBESTOS AND MOLD ABATEMENT, INC.",CORPORATION,NY,140-21 BASCOM AVE,SOUTH OZONE PARK,11436,,,,,5892622,N,valid,missing
"""1ST"" LEGACY SENIOR CARE HOME II INC",CORPORATION,WA,4308 ELWOOD DR W,UNIVERSITY PLACE,98466,WA,4308 ELWOOD DR W,UNIVERSITY PLACE,98466,604747123,N,valid,valid
"""2 ITALIAN GUYS"" LLC",LLC,CT,,,,CT,44 NORTON AVE,GUILFORD,06437,993938,N,missing,valid
